ID	Genome name	Taxonomy	Genome size(Mb)	GC(%)	GenBank accession number	BioProject
Ctu0	Cronobacter turicensis z3032	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Cronobacter.	4.6	57.23	FN543093	PRJNA40821
CAm0	Candidatus Amoebophilus asiaticus 5a2	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Amoebophilaceae; Candidatus Amoebophilus.	1.88	35.00	CP001102	PRJNA58963
Bex0	Bdellovibrio exovorus JSS	Bacteria; Proteobacteria; Deltaproteobacteria; Bdellovibrionales; Bdellovibrionaceae; Bdellovibrio.	2.66	41.90	CP003537	PRJNA194119
Hni0	Hyphomicrobium nitrativorans NL23	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium.	3.65	63.90	CP006912	PRJNA230615
Bps3	Burkholderia pseudomallei 1710b	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	7.31	67.99	CP000124,CP000125	PRJNA58391
Fau0	Frateuria aurantia DSM 6220	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Frateuria.	3.6	63.40	CP003350	PRJNA81775
Lsp0	Lysinibacillus sphaericus C3-41	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Lysinibacillus.	4.82	37.15	CP000817	PRJNA58945
Pru0	Prevotella ruminicola 23 Bryant 23	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella.	3.62	47.70	CP002006	PRJNA47507
Lac0	Lactobacillus acidophilus NCFM	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus.	1.99	34.70	CP000033	PRJNA57685
Lac1	Lactobacillus acidophilus La-14	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus.	1.99	34.70	CP005926	PRJNA201479
Bap9	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buchnera.	0.65	25.71	CP002645	PRJNA158533
Bap8	Buchnera aphidicola str. Sg (Schizaphis graminum)	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buchnera.	0.64	25.30	AE013218	PRJNA57913
Bap3	Buchnera aphidicola str. JF98 (Acyrthosiphon pisum)	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buchnera.	0.64	26.30	CP002303	PRJNA158845
Bap2	Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum)	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buchnera.	0.64	26.30	CP002301	PRJNA158849
Bap1	Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buchnera.	0.64	26.30	CP001158	PRJNA59283
Bap0	Buchnera aphidicola BCc	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buchnera.	0.42	20.2	CP000263	PRJNA58579
Bap7	Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buchnera.	0.64	26.30	CP002302	PRJNA158847
Bap6	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buchnera.	0.66	26.35	BA000003	PRJNA57805
Bap5	Buchnera aphidicola (Cinara tujafilina)	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buchnera.	0.44	23.00	CP001817	PRJNA68101
Bap4	Buchnera aphidicola str. 5A (Acyrthosiphon pisum)	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buchnera.	0.64	26.30	CP001161	PRJNA59285
Lph0	Lachnoclostridium phytofermentans ISDg	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae.	4.85	35.30	CP000885	PRJNA58519
Vpa1	Vibrio parahaemolyticus O1:Kuk str. FDA_R31	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	5.22	45.33	CP006004,CP006005	PRJNA212977
Vpa0	Veillonella parvula DSM 2008	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Veillonella.	2.13	38.60	CP001820	PRJNA41927
Vpa3	Variovorax paradoxus B4	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Variovorax.	7.15	67.14	CP003911,CP003912	PRJNA218005
Vpa2	Vibrio parahaemolyticus RIMD 2210633 O3:K6	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	5.17	45.40	BA000031,BA000032	PRJNA57969
Rer1	Rhodococcus erythropolis PR4 PR4 (= NBRC 100887)	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Nocardiaceae; Rhodococcus.	6.9	62.29	AP008957	PRJNA59019
Rer0	Rhodococcus erythropolis CCM2595	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Nocardiaceae; Rhodococcus.	6.37	62.50	CP003761	PRJNA216088
Vpa7	Vibrio parahaemolyticus BB22OP	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	5.1	45.33	CP003972,CP003973	PRJNA184822
Vpa6	Variovorax paradoxus EPS	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Variovorax.	6.55	66.50	CP002417	PRJNA62107
Gdi0	Gluconacetobacter diazotrophicus PA1 5 PAl 5	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Gluconacetobacter.	3.91	66.34	AM889285,CP001189	PRJNA59075
Sam0	Shewanella amazonensis SB2B	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella.	4.31	53.60	CP000507	PRJNA58257
Cca1	Capnocytophaga canimorsus Cc5	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Capnocytophaga.	2.57	36.10	CP002113	PRJNA70727
Cca0	Chlamydophila caviae GPIC	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydophila.	1.18	39.16	AE015925	PRJNA57783
Cca2	Corynebacterium callunae DSM 20147	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.93	52.46	CP004354	PRJNA193714
Pma4	Prochlorococcus marinus str. MIT 9312	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus.	1.71	31.20	CP000111	PRJNA58357
NJS0	Nocardioides sp. JS614	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Nocardioidaceae; Nocardioides.	5.29	71.48	CP000509	PRJNA58149
Mul0	Mycobacterium ulcerans Agy99	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium.	5.81	65.42	CP000325	PRJNA62939
Tca0	Treponema caldaria DSM 7334	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	3.24	45.60	CP002868	PRJNA68753
Cco3	Corallococcus coralloides DSM 2259	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Corallococcus.	10.08	69.90	CP003389	PRJNA157997
Cco2	Campylobacter concisus 13826	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter.	2.1	39.24	CP000792	PRJNA58667
Cco1	Campylobacter coli CVM N29710	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter.	1.73	31.41	CP004066	PRJNA219322
Cco0	Campylobacter coli 15-537360	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter.	1.69	31.37	CP006702	PRJNA226113
Mhy12	Mycoplasma hyorhinis SK76	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	0.84	25.90	CP003914	PRJNA181997
Xce0	Xylanimonas cellulosilytica DSM 15894	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Promicromonosporaceae; Xylanimonas.	3.83	72.47	CP001821	PRJNA41935
Mhy10	Mycoplasma hyopneumoniae 168	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	0.93	28.50	CP002274	PRJNA162053
Mhy11	Mycoplasma hyorhinis MCLD	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	0.83	25.90	CP002669	PRJNA162087
Slo0	Shewanella loihica PV-4	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella.	4.6	53.70	CP000606	PRJNA58349
Bto0	Bacillus toyonensis BCT-7112	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	5.03	35.55	CP006863	PRJNA227218
Pst5	Pseudomonas stutzeri DSM 10701	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	4.17	63.20	CP003725	PRJNA170940
Pst4	Pseudomonas stutzeri RCH2	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	4.6	62.47	CP003071	PRJNA184342
BYI0	Burkholderia sp. YI23	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia.	8.9	63.26	CP003087,CP003088,CP003089	PRJNA81081
Pas0	Porphyromonas asaccharolytica DSM 20707	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas.	2.19	52.50	CP002689	PRJNA66603
Pas1	Photorhabdus asymbiotica	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Photorhabdus.	5.09	42.19	FM162591	PRJNA59243
Bth7	Bacillus thuringiensis serovar konkukian str. 97-27	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	5.31	35.36	AE017355	PRJNA58089
Aeh0	Alkalilimnicola ehrlichii MLHE-1	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Ectothiorhodospiraceae; Alkalilimnicola.	3.28	67.50	CP000453	PRJNA58467
Sja0	Sphingobium japonicum UT26S	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingobium.	4.42	64.88	AP010803,AP010804	PRJNA47077
Dgo0	Deinococcus gobiensis I-0	Bacteria; Deinococcus-Thermus; Deinococci; Deinococcales; Deinococcaceae; Deinococcus.	4.41	69.15	CP002191	PRJNA162509
Rhe0	Rickettsia heilongjiangensis 054	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Rickettsiaceae; Rickettsieae; Rickettsia; spotted fever group.	1.28	32.30	CP002912	PRJNA70839
Sma1	Streptococcus macedonicus ACA-DC 198	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	2.14	37.58	HE613569	PRJNA81631
Sma0	Staphylothermus marinus F1	Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Staphylothermus.	1.57	35.70	CP000575	PRJNA58719
Cpa1	Clostridium pasteurianum BC1	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium.	5.04	30.58	CP003261	PRJNA201478
Sma5	Stenotrophomonas maltophilia R551-3	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group.	4.57	66.30	CP001111	PRJNA58657
Sma4	Stenotrophomonas maltophilia JV3	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group.	4.54	66.90	CP002986	PRJNA72473
Efa4	Enterococcus faecalis 62	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus.	3.13	37.36	CP002491	PRJNA159663
Bps7	Burkholderia pseudomallei BPC006	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	7.16	68.22	CP003781,CP003782	PRJNA174460
Bps6	Burkholderia pseudomallei NCTC 13179	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	7.34	67.99	CP003976,CP003977	PRJNA226109
Bps5	Bacillus pseudofirmus OF4	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	4.25	39.89	CP001878	PRJNA45847
Bps4	Burkholderia pseudomallei 1026b	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	7.23	68.16	CP002833,CP002834	PRJNA162511
HNR0	Halobacterium sp. NRC-1	Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halobacterium.	2.57	65.92	AE004437	PRJNA57769
Bps2	Burkholderia pseudomallei MSHR305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	7.43	67.89	CP006469,CP006470	PRJNA213227
Bps1	Burkholderia pseudomallei K96243	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	7.25	68.05	BX571965,BX571966	PRJNA57733
Bps0	Burkholderia pseudomallei 668	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	7.04	68.27	CP000570,CP000571	PRJNA58389
Osp0	Odoribacter splanchnicus DSM 20712 DSM 220712	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Odoribacter.	4.39	43.40	CP002544	PRJNA63397
Sps0	Staphylococcus pseudintermedius ED99	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	2.57	37.60	CP002478	PRJNA162109
Sps1	Staphylococcus pseudintermedius HKU10-03	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	2.62	37.50	CP002439	PRJNA62125
Sps2	Streptococcus pseudopneumoniae IS7493	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	2.2	39.8	CP002925	PRJNA71153
Bps8	Burkholderia pseudomallei 1106a	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	7.09	68.26	CP000572,CP000573	PRJNA58515
Tsa0	Terriglobus saanensis SP1PR4	Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Terriglobus.	5.1	57.30	CP002467	PRJNA53251
Tsa1	Thermoanaerobacterium saccharolyticum JW/SL-YS485	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermoanaerobacterium.	2.88	35.08	CP003184	PRJNA167781
Oho0	Owenweeksia hongkongensis DSM 17368	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Cryomorphaceae; Owenweeksia.	4.0	40.20	CP003156	PRJNA82951
Rmu0	Rothia mucilaginosa DY-18	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Micrococcaceae; Rothia.	2.26	59.60	AP011540	PRJNA43093
Sau7	Staphylococcus aureus subsp. aureus TW20	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	3.08	32.8	FN433596	PRJNA159241
TAM0	Thermococcus sp. AM4	Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Thermococcus.	2.09	54.80	CP002952	PRJNA54735
Sau6	Staphylococcus aureus subsp. aureus CN1	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	2.76	32.79	CP003979	PRJNA217769
Sma3	Serratia marcescens WW4	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Serratia.	5.24	59.59	CP003959	PRJNA188478
Sma2	Stenotrophomonas maltophilia D457	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group.	4.77	66.80	HE798556	PRJEA162199
Eco48	Escherichia coli str. K-12 substr. DH10B	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia.	4.69	50.80	CP000948	PRJNA58979
Eco49	Escherichia coli HS	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia.	4.64	50.80	CP000802	PRJNA58393
Mab0	Mycobacterium abscessus subsp. bolletii 50594	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium abscessus.	5.27	64.18	CP004374	PRJNA205422
Mab1	Mycobacterium abscessus ATCC 19977	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium abscessus.	5.09	64.12	CU458896	PRJNA61613
Mab2	Mycobacterium abscessus subsp. bolletii str. GO 06	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium abscessus.	4.69	64.30	CP003699	PRJNA170732
Bva0	Borrelia valaisiana VS116	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Borrelia; Borrelia burgdorferi group.	1.26	27.48	ABCY02000001	PRJNA54823
Eco42	Escherichia coli O139:H28 str. E24377A	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia.	5.25	50.54	CP000800	PRJNA58395
Eco43	Escherichia coli str. 'clone D i14'	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia.	5.04	50.60	CP002212	PRJNA162049
Eco40	Escherichia coli str. 'clone D i2'	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia.	5.04	50.60	CP002211	PRJNA162047
Eco41	Escherichia coli O104:H4 str. 2011C-3493	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia.	5.44	50.63	CP003289	PRJNA176127
Eco46	Escherichia coli O127:H6 str. E2348/69	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia.	5.07	50.55	FM180568	PRJNA59343
Eco47	Escherichia coli IHE3034	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia.	5.11	50.70	CP001969	PRJNA162007
Eco44	Escherichia coli O104:H4 str. 2009EL-2050	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia.	5.44	50.54	CP003297	PRJNA175905
Eco45	Escherichia coli W	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia.	5.01	50.78	CP002967,CP002185	PRJNA162011
Ctr22	Chlamydia trachomatis RC-J/966	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia.	1.04	41.30	CP002679	PRJNA213393
Ctr23	Chlamydia trachomatis L2b/UCH-2	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia.	1.05	41.26	HE601956	PRJNA196788
Bsu8	Bacillus subtilis XF-1	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	4.06	43.90	CP004019	PRJNA189187
Ctr21	Chlamydia trachomatis D/UW-3/CX	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia.	1.04	41.30	AE001273	PRJNA57637
Ctr26	Chlamydia trachomatis G/9301	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia.	1.04	41.30	CP001930	PRJNA161377
Ctr27	Chlamydia trachomatis D-EC	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia.	1.05	41.26	CP002052	PRJNA159881
Ctr24	Chlamydia trachomatis RC-F(s)/342	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia.	1.08	41.50	CP002677	PRJNA213391
Ctr25	Chlamydia trachomatis RC-F/69	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia.	1.05	41.30	CP002671	PRJNA213385
CAr2	Candidatus Arthromitus sp. SFB-rat-Yit	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Candidatus Arthromitus.	1.52	28.00	AP012210	PRJNA73425
Sru1	Salinibacter ruber DSM 13855	Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Salinibacter.	3.59	66.12	CP000159	PRJNA58513
Tye0	Thermodesulfovibrio yellowstonii DSM 11347	Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Thermodesulfovibrio.	2.0	34.10	CP001147	PRJNA59257
CAr1	Candidatus Arthromitus sp. SFB-mouse-Yit	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Candidatus Arthromitus.	1.59	28.10	AP012209	PRJNA159517
Bsu6	Bacillus subtilis BSn5	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	4.09	43.80	CP002468	PRJNA62463
Bsu7	Bacillus subtilis QB928	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	4.15	43.60	CP003783	PRJNA173926
Bsu4	Brucella suis VBI22	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella.	3.32	57.24	CP003128,CP003129	PRJNA83617
Bsu5	Bacillus subtilis subsp. spizizenii str. W23	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	4.03	43.90	CP002183	PRJNA51879
Ame1	Amycolatopsis mediterranei U32	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Pseudonocardineae; Pseudonocardiaceae; Amycolatopsis.	10.24	71.30	CP002000	PRJNA50565
Rau0	Rickettsia australis str. Cutlack	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Rickettsiaceae; Rickettsieae; Rickettsia; spotted fever group.	1.32	32.33	CP003338	PRJNA158039
Scy0	Stanieria cyanosphaera PCC 7437	Bacteria; Cyanobacteria; Pleurocapsales; Stanieria.	5.54	36.27	CP003653	PRJNA183115
Cth1	Chloroherpeton thalassium ATCC 35110	Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chloroherpeton.	3.29	45.00	CP001100	PRJNA59187
Cth0	Chroococcidiopsis thermalis PCC 7203	Bacteria; Cyanobacteria; Pleurocapsales; Chroococcidiopsis.	6.69	44.44	CP003597	PRJNA183002
TMZ0	Thauera sp. MZ1T	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Thauera.	4.57	68.3	CP001281	PRJNA58987
Ath0	Anaerolinea thermophila UNI-1	Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Anaerolinea.	3.53	53.80	AP012029	PRJNA62245
Mga3	Mycoplasma gallisepticum S6	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	0.99	31.50	CP006916	PRJNA200523
Mga2	Mycoplasma gallisepticum str. R(high)	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	1.01	31.50	CP001872	PRJNA161999
MMB0	Methanobacterium sp. MB1	Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobacterium.	2.03	39.70	HG425166	PRJNA231690
Dra0	Deinococcus radiodurans R1	Bacteria; Deinococcus-Thermus; Deinococci; Deinococcales; Deinococcaceae; Deinococcus.	3.28	66.61	AE000513,AE001825	PRJNA57665
Ctr20	Chlamydia trachomatis L2/434/Bu(f)	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia.	1.05	41.26	CP003965	PRJNA198644
Bsu9	Bacillus subtilis BEST7613	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	7.59	45.70	AP012495	PRJDB112
Bwe0	Bacillus weihenstephanensis KBAB4	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	5.87	35.52	CP000903	PRJNA58315
Nri0	Neorickettsia risticii str. Illinois	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Anaplasmataceae; Neorickettsia.	0.88	41.30	CP001431	PRJNA58889
Pma2	Prochlorococcus marinus str. MIT 9215	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus.	1.74	31.10	CP000825	PRJNA58819
Hin6	Haemophilus influenzae Rd KW20	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus.	1.83	38.20	L42023	PRJNA57771
Sse0	Shewanella sediminis HAW-EB3	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella.	5.52	46.10	CP000821	PRJNA58835
Adi0	Alcanivorax dieselolei B5	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Alcanivorax.	4.93	61.60	CP003466	PRJNA176364
Nla0	Neisseria lactamica 020-06	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria.	2.22	52.30	FN995097	PRJNA60851
Bsu2	Bacillus subtilis subsp. subtilis str. BAB-1	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	4.02	43.90	CP004405	PRJNA195461
Bsu3	Bacillus subtilis subsp. subtilis str. RO-NN-1	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	4.01	43.90	CP002906	PRJNA158879
Vfi0	Vibrio fischeri ES114	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Aliivibrio.	4.27	38.37	CP000020,CP000021	PRJNA58163
CAr0	Candidatus Arthromitus sp. SFB-mouse-Japan	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Candidatus Arthromitus.	1.62	28.30	AP012202	PRJNA71379
Ctr29	Chlamydia trachomatis F/2-93	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia.	1.04	41.30	CP006672	PRJNA216090
Pen0	Pseudomonas entomophila L48	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	5.89	64.20	CT573326	PRJNA58639
Ara0	Agrobacterium radiobacter K84	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium; Agrobacterium tumefaciens complex.	7.27	59.87	CP000628,CP000629	PRJNA58269
Mru2	Muricauda ruestringensis DSM 13258	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Muricauda.	3.84	41.40	CP002999	PRJNA72479
